Name,Add,Px,Py,Changetime,Picture1
衛武迷迷村(苓雅國際壁畫區),高雄市802苓雅區衛武里行禮街與尚勇路(周邊),120.34393,22.62716,2022/12/28 13:53:48,https://khh.travel/content/images/Attractions/18889/640x480_attractions-image-f2roa_qyiusumbsdvxdnrq.png
愛河之心,高雄市807三民區博愛一路和同盟一路、二路,120.30388,22.65132,2022/12/25 00:01:28,https://khh.travel/content/images/Attractions/18372/640x480_attractions-image-bae0klru_u-qfd7nguvujw.jpg
蓮池潭風景區,高雄市813左營區蓮潭路,120.29690,22.67873,2022/12/25 00:01:20,https://khh.travel/content/images/Attractions/19849/640x480_attractions-image-g0qs4l9vqu20shcpxhp0cw.jpg
棧貳庫,高雄市804鼓山區蓬萊路17號(七賢三路底),120.27710,22.61899,,
旗津海水浴場,高雄市805旗津區廟前路1號,120.26690,22.61018,2022/12/25 00:01:03,https://khh.travel/content/images/Attractions/37539/640x480_attractions-image-sn5m6zydauesvf_rvtpipg.jpg
駁二藝術特區,高雄市803鹽埕區大勇路1號,120.28160,22.62001,2022/12/25 00:00:58,https://khh.travel/content/images/Attractions/37670/640x480_attractions-image-kklpdqdwkkm9gq6f7d688w.jpg
寶來花賞溫泉公園,高雄市844六龜區寶來國中後方，比鄰浦來溪頭社戰道,120.70274,23.10685,2022/12/25 00:00:48,https://khh.travel/content/images/Attractions/37630/640x480_attractions-image-4kzkbqh_8kkd5flhnchpbw.jpg
崗山之眼,高雄市820岡山區大莊路80巷,120.33432,22.81199,2022/12/25 00:00:42,https://khh.travel/content/images/Attractions/18315/640x480_attractions-image-sbna7gmxzku-rx5et7brjw.jpg
高雄巨蛋,高雄市813左營區博愛二路757 號,120.30142,22.66915,,
壽山動物園,高雄市804鼓山區萬壽路350號,120.27519,22.63443,2022/12/19 15:41:37,https://khh.travel/content/images/Attractions/20224/640x480_attractions-image--jnpkpqwcegpzakrwc16bw.jpg
清水宮,高雄市813左營區洲仔巷25號,120.29963,22.68408,2022/12/11 00:01:44,https://khh.travel/image/8469/640x480
天文宮,高雄市828永安區維新里保安路5巷4號,120.24022,22.81291,2022/12/11 00:01:41,https://khh.travel/image/1821/640x480
旗津彩虹教堂,高雄市805旗津區旗津三路990號,120.27345,22.60234,2022/12/11 00:01:32,https://khh.travel/content/images/Attractions/18495/640x480_attractions-image-krscupuu1kufxdwifq3lyq.jpg
城市光廊J Cafe,高雄市801前金區中華三路6號,120.29916,22.62332,2022/12/11 00:01:29,https://khh.travel/image/1730/640x480
衛武營國家藝術文化中心,高雄市830鳳山區三多一路1號,120.34244,22.62300,2022/12/11 00:01:19,https://khh.travel/image/1972/640x480
愛河啤酒花園,高雄市803鹽埕區河西路10號旁,120.28912,22.62269,2022/12/11 00:01:10,https://khh.travel/content/images/Attractions/37481/640x480_attractions-image-kcxye1aizeojgcagapjcta.jpg
寶山二集團櫻花公園(38甲櫻花公園),高雄市848桃源區寶山里藤枝林道16.5K處,120.70744,23.03777,2022/12/11 00:01:05,https://khh.travel/content/images/Attractions/34506/640x480_attractions-image-ppxpxfeykkg_c0nw5nklcw.jpg
旗山碾米廠,高雄市842旗山區延平一路688巷20號,120.48137,22.88357,2022/12/08 11:05:04,https://khh.travel/content/images/Attractions/18429/640x480_attractions-image-q1qb95t1k0ew0sbw1zekow.jpg
潮旅梓官（蚵仔寮漁港）,高雄市826梓官區漁港二路32號,120.25446,22.72687,2022/12/01 15:54:10,https://khh.travel/content/images/Attractions/20397/640x480_attractions-image-kdxpvjqzwewisunxyad_9w.jpg
旗山武德殿,高雄市842旗山區華中街和中正路口(旗山國小對面),120.48018,22.88798,2022/11/28 17:51:59,https://khh.travel/content/images/Attractions/18444/640x480_attractions-image-kbktk0pgg0kquok1zuen-w.jpg
永浴愛河,高雄市801前金區河東路(國賓大飯店旁),120.29013,22.62426,2022/11/28 17:51:56,https://khh.travel/image/1729/640x480
高雄科學園區-尋找公共藝術,高雄市821路竹區路科五路23號,120.25604,22.83081,2022/11/28 17:51:52,https://khh.travel/content/images/Attractions/1749/640x480_image022_8564.jpg
新威景觀大橋,高雄市844六龜區新威大橋 (位在台28線45Km處，位於六龜大橋與大津橋間，連結了台28線及台27線。),120.63812,22.89148,2022/11/28 17:51:50,https://khh.travel/content/images/Attractions/1763/640x480_image003_8626.jpg
桃源區原住民文化館,高雄市848桃源區南進巷180號,120.76627,23.15922,2022/11/28 17:51:47,https://khh.travel/content/images/Attractions/22197/640x480_attractions-image-kq94lvgb60y-w9wkybcfvq.jpg
拉阿魯哇文化祭場,高雄市848桃源區高中里美蘭社區,120.72122,23.13360,2022/11/28 17:51:45,https://khh.travel/content/images/Attractions/1767/640x480_image009_8632.jpg
藤枝櫻花原生茶園,高雄市848桃源區寶山里寶山巷250之5號,120.75491,23.06733,2022/11/28 17:51:42,https://khh.travel/content/images/Attractions/1769/640x480_image012_8634.jpg
索阿紀吊橋,高雄市848桃源區高中里近美蘭聯絡道路靠荖濃溪處,120.72451,23.13138,2022/11/28 17:51:36,https://khh.travel/content/images/Attractions/1780/640x480_image034_8638.jpg
瓦阿係吊橋,高雄市848桃源區復興里台20號南橫公路四段旁,120.80361,23.21677,2022/11/28 17:51:34,https://khh.travel/content/images/Attractions/1782/640x480_image038_8639.jpg
馬舒霍爾文化聚落所,高雄市848桃源區梅山巷35之8號,120.82564,23.27343,2022/11/28 17:51:32,https://khh.travel/content/images/Attractions/1784/640x480_image042_8641.jpg
南華商圈,高雄市800新興區中正三路至民生一路段的南華路,120.30282,22.63012,2022/11/28 17:51:30,https://khh.travel/image/1795/640x480
新堀江商圈,高雄市800新興區五福二路與中山路口交會路口,120.30190,22.62326,2022/11/28 17:51:27,https://khh.travel/image/1797/640x480
鑽石沙灣海岸景色,高雄市828永安區新港里石斑路,120.20755,22.82133,2022/11/28 17:51:23,https://khh.travel/image/1827/640x480
烏林投步道,高雄市828永安區興達路興達巷67之5號 (前往烏林投社區先找到玄德宮，再往前約50公尺),120.20085,22.84051,2022/11/28 17:51:21,https://khh.travel/image/1846/640x480
維新彩繪村,高雄市828永安區維新里光明10巷,120.24544,22.80601,2022/11/28 17:51:19,https://khh.travel/image/1849/640x480
永安濕地,高雄市828永安區鹽田里永達路81號,120.21152,22.83586,2022/11/28 17:51:16,https://khh.travel/image/1850/640x480
見城館,高雄市813左營區龜山巷157-2號,120.29142,22.67694,2022/11/28 17:51:14,https://khh.travel/content/images/Attractions/1867/640x480_imag4241_8693.jpg
再見捌捌陸-臺灣眷村文化園區,高雄市813左營區明德新村2、3、4、10、11號,120.28900,22.69249,2022/11/28 17:51:09,https://khh.travel/content/images/Attractions/1873/640x480_3_dsc04487_8701.jpg
芒果咖秋,,120.29904,22.68924,,
左營舊城車站,高雄市813左營區翠華路1050號B1,120.29357,22.67396,2022/11/28 17:51:02,https://khh.travel/content/images/Attractions/1920/640x480_image007_8851.jpg
內惟車站,高雄市804鼓山區翠華路500號,120.28719,22.66613,2022/11/28 17:51:00,https://khh.travel/content/images/Attractions/1921/640x480_image009_8854.jpg
美術館車站,高雄市804鼓山區翠華路 246 號,120.28117,22.65153,2022/11/28 17:50:57,https://khh.travel/content/images/Attractions/1923/640x480_image013_8856.jpg
民族車站,高雄市807三民區凱旋一路260號,120.31440,22.63865,2022/11/28 17:50:55,https://khh.travel/content/images/Attractions/1928/640x480_image022_8857.jpg
科工館車站,高雄市807三民區大順三路307號,120.32708,22.63677,2022/11/28 17:50:52,https://khh.travel/content/images/Attractions/1931/640x480_image028_8858.jpg
正義車站,高雄市802苓雅區正義路 308 號,120.34266,22.63471,2022/11/28 17:50:50,https://khh.travel/content/images/Attractions/1935/640x480_image036_8859.jpg
北極亭,高雄市813左營區蓮潭路116巷1號,120.29531,22.68494,2022/11/28 17:50:48,https://khh.travel/image/8468/640x480
鼓山車站,高雄市804鼓山區鐵路街20巷6號,120.27982,22.64137,2022/11/28 17:50:45,https://khh.travel/content/images/Attractions/1948/640x480_image016_8878.jpg
金馬賓館當代美術館,高雄市804鼓山區鼓山一路111號,120.27878,22.62767,2022/11/28 17:50:42,https://khh.travel/image/1998/640x480
市境之南樹,高雄市832林園區東汕路32號,120.41382,22.47626,2022/11/28 17:50:39,https://khh.travel/content/images/Attractions/39180/640x480_attractions-image-htrehjiu90-3o7renixmdg.jpg
中寮山,高雄市823田寮區中寮山,120.43246,22.83009,2022/11/28 17:50:15,https://khh.travel/content/images/Attractions/37552/640x480_attractions-image-ba-o_lsomekyidraigsbfq.jpg
愛河,高雄市801前金區同盟路接前金區河東路、河西路,120.28904,22.62483,2022/11/28 17:49:49,https://khh.travel/content/images/Attractions/37515/640x480_attractions-image-acslncusaug127vkol3esq.jpg
